English,Russian
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделал
old,Старый
which,который
big,большой
lot,много
done,Выполнено
hello,Привет
nice,Ницца
believe,полагать
girl,девочка
someone,кто то
fine,отлично
thanks,Благодарность
wanted,хотел
kind,своего рода
coming,приходящий
house,дом
every,каждый
ok,в порядке
through,через
being,существование
course,курс
stay,остаться
left,левый
dad,папа
enough,достаточно
happened,случилось
came,пришел
may,мая
mother,мама
wrong,неправильный
world,Мир
bad,плохой
might,мог бы
three,три
today,сегодня
listen,Слушать
another,Другая
understand,понимать
hear,слышать
remember,Помните
ask,просить
own,своя
same,такой же
show,показывать
else,еще
kill,убийство
talking,разговор
found,нашел
next,следующий
getting,получающий
care,забота
car,машина
looking,Ищу
son,сын
try,пытаться
woman,женщина
went,шел
hi,Привет
dead,мертвых
many,многие
mind,разум
wasn,Разве
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,себя
job,работа
saw,увидел
family,семья
real,настоящий
without,без
baby,младенец
room,номер
wouldn,быстрый
already,уже
move,переехать
most,самый
seen,видимый
live,реальный
miss,Мисс
actually,фактически
huh,Хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готов
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,родной брат
also,также
pretty,симпатичный
bit,немного
took,взял
haven,выступ
yet,пока что
men,люди
whole,все
start,Начало
use,использовать
while,пока
since,поскольку
wife,жена
days,дни
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня вечером
everyone,все
run,бегать
wanna,хочу
hard,жесткий
ah,ах
alone,в одиночестве
myself,сам
school,школа
gone,ушел
um,ими